id,id_gen,scenario,date,value
110,92,1,2025-01-11T10:00:00.0,386.5216
111,92,1,2025-01-11T11:00:00.0,413.807
112,92,1,2025-01-11T12:00:00.0,414.5924
113,92,1,2025-01-11T13:00:00.0,389.9539
114,92,1,2025-01-11T14:00:00.0,339.2674
115,92,1,2025-01-11T15:00:00.0,267.0077
116,92,1,2025-01-11T16:00:00.0,172.6397
117,92,1,2025-01-11T17:00:00.0,64.6814
118,92,1,2025-01-11T18:00:00.0,4.1271
119,92,1,2025-01-11T19:00:00.0,0.0
120,92,1,2025-01-11T20:00:00.0,0.0
121,92,1,2025-01-11T21:00:00.0,0.0
122,92,1,2025-01-11T22:00:00.0,0.0
123,92,1,2025-01-11T23:00:00.0,0.0
124,92,1,2025-01-12T00:00:00.0,0.0
125,92,1,2025-01-12T01:00:00.0,0.0
126,92,1,2025-01-12T02:00:00.0,0.0
127,92,1,2025-01-12T03:00:00.0,0.0
128,92,1,2025-01-12T04:00:00.0,0.0
129,92,1,2025-01-12T05:00:00.0,4.4694
130,92,1,2025-01-12T06:00:00.0,65.1149
131,92,1,2025-01-12T07:00:00.0,171.6673
132,92,1,2025-01-12T08:00:00.0,260.7803
133,92,1,2025-01-12T09:00:00.0,331.2342
134,92,1,2025-01-12T10:00:00.0,367.7407
135,92,1,2025-01-12T11:00:00.0,392.4737
136,92,1,2025-01-12T12:00:00.0,398.3445
137,92,1,2025-01-12T13:00:00.0,379.6817
138,92,1,2025-01-12T14:00:00.0,332.4082
139,92,1,2025-01-12T15:00:00.0,268.3909
140,92,1,2025-01-12T16:00:00.0,173.9534
141,92,1,2025-01-12T17:00:00.0,66.0781
142,92,1,2025-01-12T18:00:00.0,4.7375
143,92,1,2025-01-12T19:00:00.0,0.0
144,92,1,2025-01-12T20:00:00.0,0.0
145,92,1,2025-01-12T21:00:00.0,0.0
146,92,1,2025-01-12T22:00:00.0,0.0
147,92,1,2025-01-12T23:00:00.0,0.0
148,92,1,2025-01-13T00:00:00.0,0.0
149,92,1,2025-01-13T01:00:00.0,0.0
150,92,1,2025-01-13T02:00:00.0,0.0
151,92,1,2025-01-13T03:00:00.0,0.0
152,92,1,2025-01-13T04:00:00.0,0.0
153,92,1,2025-01-13T05:00:00.0,3.7457
154,92,1,2025-01-13T06:00:00.0,62.6577
155,92,1,2025-01-13T07:00:00.0,166.2565
156,92,1,2025-01-13T08:00:00.0,254.5993
157,92,1,2025-01-13T09:00:00.0,314.2978
158,92,1,2025-01-13T10:00:00.0,359.1962
159,92,1,2025-01-13T11:00:00.0,389.4321
160,92,1,2025-01-13T12:00:00.0,402.3411
161,92,1,2025-01-13T13:00:00.0,374.5777
162,92,1,2025-01-13T14:00:00.0,325.8341
163,92,1,2025-01-13T15:00:00.0,249.8235
164,92,1,2025-01-13T16:00:00.0,161.6564
165,92,1,2025-01-13T17:00:00.0,66.2611
166,92,1,2025-01-13T18:00:00.0,5.7516
167,92,1,2025-01-13T19:00:00.0,0.0
168,92,1,2025-01-13T20:00:00.0,0.0
169,92,1,2025-01-13T21:00:00.0,0.0
170,92,1,2025-01-13T22:00:00.0,0.0
171,92,1,2025-01-13T23:00:00.0,0.0
172,92,2,2025-01-07T00:00:00.0,0.0
173,92,2,2025-01-07T01:00:00.0,0.0
174,92,2,2025-01-07T02:00:00.0,0.0
175,92,2,2025-01-07T03:00:00.0,0.0
176,92,2,2025-01-07T04:00:00.0,0.0
177,92,2,2025-01-07T05:00:00.0,4.2495
178,92,2,2025-01-07T06:00:00.0,42.0307
179,92,2,2025-01-07T07:00:00.0,97.3157
180,92,2,2025-01-07T08:00:00.0,160.8314
181,92,2,2025-01-07T09:00:00.0,223.2057
182,92,2,2025-01-07T10:00:00.0,271.0633
183,92,2,2025-01-07T11:00:00.0,304.391
184,92,2,2025-01-07T12:00:00.0,310.3942
185,92,2,2025-01-07T13:00:00.0,279.1337
186,92,2,2025-01-07T14:00:00.0,263.574
187,92,2,2025-01-07T15:00:00.0,217.8524
188,92,2,2025-01-07T16:00:00.0,151.914
189,92,2,2025-01-07T17:00:00.0,66.7883
190,92,2,2025-01-07T18:00:00.0,6.2252
